marker_token,marker_synonyms,source_columns,pro_id,pro_label,uniprot_id,uniprot_label,gene_symbol,hgnc_id,ncbi_gene_id,mapping_method,confidence,evidence,notes
CD4,,Required phenotypic markers,PR:000001004,CD4 molecule,P01730,CD4 molecule,CD4,HGNC:1678,,cl_pro_tsv,high,reports/cl_pro_relationships.tsv,
CD45,,Required phenotypic markers,PR:000001006,receptor-type tyrosine-protein phosphatase C,P08575,receptor-type tyrosine-protein phosphatase C,PTPRC,HGNC:9666,,cl_pro_tsv,high,reports/cl_pro_relationships.tsv,
CD56,,Ideal exclusion|Required exclusion|Required phenotypic markers,PR:000001024,neural cell adhesion molecule 1,P13591,neural cell adhesion molecule 1,NCAM1,HGNC:7656,,cl_pro_tsv,high,reports/cl_pro_relationships.tsv,
CD57,,Required phenotypic markers,,,,,,,,ols4,low,https://www.ebi.ac.uk/ols4/api/search?q=CD57&ontology=pr,B3GAT1 / HNK-1 epitope; HNK-1 carbohydrate epitope synthesised by B3GAT1
CD64,,Ideal phenotypic markers|Required exclusion|Required phenotypic markers,PR:000001465,high affinity immunoglobulin gamma Fc receptor I,P12314,high affinity immunoglobulin gamma Fc receptor I,FCGR1A,HGNC:3613,,cl_pro_tsv,high,reports/cl_pro_relationships.tsv,
CD66b,,Ideal exclusion|Required exclusion|Required phenotypic markers,PR:000001332,cell adhesion molecule CEACAM8,P31997,cell adhesion molecule CEACAM8,CEACAM8,HGNC:1820,,cl_pro_tsv,high,reports/cl_pro_relationships.tsv,
CD8,,Required phenotypic markers,PR:000001084,T-cell surface glycoprotein CD8 alpha chain,P01732,T-cell surface glycoprotein CD8 alpha chain,CD8A,HGNC:1706,,cl_pro_tsv,high,reports/cl_pro_relationships.tsv,
CXCR3,CXCR3|CD183,Required phenotypic markers,PR:000001207,C-X-C chemokine receptor type 3,P49682,C-X-C chemokine receptor type 3,CXCR3,HGNC:4540,,inferred,high,reports/cl_pro_relationships.tsv,
CXCR5,CXCR5|CD185,Required phenotypic markers,PR:000001209,C-X-C chemokine receptor type 5,P32302,C-X-C chemokine receptor type 5,CXCR5,HGNC:1060,,inferred,high,reports/cl_pro_relationships.tsv,
FceR1a,,Ideal phenotypic markers|Required phenotypic markers,PR:000007431,high affinity immunoglobulin epsilon receptor subunit alpha,,high affinity immunoglobulin epsilon receptor subunit alpha,,,,ols4,high,https://www.ebi.ac.uk/ols4/api/search?q=FCER1A&ontology=pr; https://nodenormalization-sri.renci.org/1.3/get_normalized_nodes?curie=PR:000007431,high-affinity IgE receptor alpha chain
HLA-DR,,Ideal exclusion|Ideal phenotypic markers|Required phenotypic markers,PR:000002015,MHC class II histocompatibility antigen alpha chain DRA,,MHC class II histocompatibility antigen alpha chain DRA,,,,ols4,high,https://www.ebi.ac.uk/ols4/api/search?q=HLA-DRA&ontology=pr; https://nodenormalization-sri.renci.org/1.3/get_normalized_nodes?curie=PR:000002015,HLA-DR is a heterodimer of HLA-DRA + HLA-DRB1; mapped to HLA-DRA as primary chain
IFNg,,Ideal phenotypic markers,PR:P01579,interferon gamma (human),P01579,interferon gamma,IFNG,HGNC:5438,,monarch,high,https://rest.genenames.org/fetch/symbol/IFNG; https://www.ebi.ac.uk/ols4/api/ontologies/pr/terms?iri=obo:PR_P01579,intracellular marker
IL-13,,Ideal phenotypic markers,PR:P35225,interleukin-13 (human),P35225,interleukin 13,IL13,HGNC:5973,,monarch,high,https://rest.genenames.org/fetch/symbol/IL13; https://www.ebi.ac.uk/ols4/api/ontologies/pr/terms?iri=obo:PR_P35225,intracellular marker
IL-17a,,Ideal phenotypic markers,PR:Q16552,interleukin-17A (human),Q16552,interleukin 17A,IL17A,HGNC:5981,,monarch,high,https://rest.genenames.org/fetch/symbol/IL17A; https://www.ebi.ac.uk/ols4/api/ontologies/pr/terms?iri=obo:PR_Q16552,intracellular marker
IL-4,,Ideal phenotypic markers,PR:P05112,interleukin-4 (human),P05112,interleukin 4,IL4,HGNC:6014,,monarch,high,https://rest.genenames.org/fetch/symbol/IL4; https://www.ebi.ac.uk/ols4/api/ontologies/pr/terms?iri=obo:PR_P05112,intracellular marker
IL-5,,Ideal phenotypic markers,PR:P05113,interleukin-5 (human),P05113,interleukin 5,IL5,HGNC:6016,,monarch,high,https://rest.genenames.org/fetch/symbol/IL5; https://www.ebi.ac.uk/ols4/api/ontologies/pr/terms?iri=obo:PR_P05113,intracellular marker
IL-9,,Ideal phenotypic markers,PR:P15248,interleukin-9 (human),P15248,interleukin 9,IL9,HGNC:6029,,monarch,high,https://rest.genenames.org/fetch/symbol/IL9; https://www.ebi.ac.uk/ols4/api/ontologies/pr/terms?iri=obo:PR_P15248,intracellular marker
IgA,,Required phenotypic markers,,,,,,,,manual,low,,Immunoglobulin heavy-chain class A; encoded by IGHA1 and IGHA2 gene family. No single PR ID or UniProt accession covers all isotypes.
IgD,,Required phenotypic markers,,,,,,,,manual,low,,Immunoglobulin heavy-chain class D; encoded by IGHD. No single PR ID or UniProt accession.
IgE,,Required phenotypic markers,,,,,,,,manual,low,,Immunoglobulin heavy-chain class E; encoded by IGHE. No single PR ID or UniProt accession.
IgG,,Required phenotypic markers,,,,,,,,manual,low,,Immunoglobulin heavy-chain class G; encoded by IGHG1/IGHG2/IGHG3/IGHG4 gene family. No single PR ID or UniProt accession covers all subclasses.
IgM,,Required phenotypic markers,,,,,,,,manual,low,,Immunoglobulin heavy-chain class M; encoded by IGHM. No single PR ID or UniProt accession.
MR1,,Required phenotypic markers,PR:Q95460,major histocompatibility complex class I-related protein 1 (human),Q95460,"major histocompatibility complex, class I-related",MR1,HGNC:4975,,manual,high,https://rest.genenames.org/fetch/symbol/MR1; https://www.ebi.ac.uk/ols4/api/ontologies/pr/terms?iri=obo:PR_Q95460,MHC-related protein 1; also used as 'MR1 tetramer' reagent for MAIT cell detection
TCR,,Ideal phenotypic markers|Required phenotypic markers,,,,,,,,manual,medium,,pan-TCR marker; not specific to a single gene
TCRVa24,,Required phenotypic markers,PR:A0A0B4J240,T cell receptor alpha variable 10 (human),A0A0B4J240,T cell receptor alpha variable 10 (human),TRAV10,HGNC:12103,,manual,medium,https://rest.genenames.org/fetch/symbol/TRAV10; https://www.ebi.ac.uk/ols4/api/ontologies/pr/terms?iri=obo:PR_A0A0B4J240,IMGT nomenclature: TRAV10
TCRVa24-Ja18,,Required phenotypic markers,PR:A0A0B4J240,T cell receptor alpha variable 10 (human),A0A0B4J240,T cell receptor alpha variable 10 (human),TRAV10,HGNC:12103,,manual,medium,https://rest.genenames.org/fetch/symbol/TRAV10; https://www.ebi.ac.uk/ols4/api/ontologies/pr/terms?iri=obo:PR_A0A0B4J240,Invariant iNKT TCR chain; two-gene marker TRAV10+TRAJ18; gene_symbol populated with TRAV10 as primary TRAV gene
TCRVa7.2,,Required phenotypic markers,PR:A0A0B4J238,T cell receptor alpha variable 1-2 (human),A0A0B4J238,T cell receptor alpha variable 1-2 (human),TRAV1-2,HGNC:12102,,manual,medium,https://rest.genenames.org/fetch/symbol/TRAV1-2; https://www.ebi.ac.uk/ols4/api/ontologies/pr/terms?iri=obo:PR_A0A0B4J238,IMGT nomenclature: TRAV1-2
TCRVb11,,Required phenotypic markers,PR:A0A075B6N4,T cell receptor beta variable 25-1 (human),A0A075B6N4,T cell receptor beta variable 25-1 (human),TRBV25-1,HGNC:12205,,manual,medium,https://rest.genenames.org/fetch/symbol/TRBV25-1; https://www.ebi.ac.uk/ols4/api/ontologies/pr/terms?iri=obo:PR_A0A075B6N4,IMGT nomenclature: TRBV25-1
TCRVd2,,Required phenotypic markers,PR:A0JD36,T cell receptor delta variable 2 (human),A0JD36,T cell receptor delta variable 2 (human),TRDV2,HGNC:12263,,manual,medium,https://rest.genenames.org/fetch/symbol/TRDV2; https://www.ebi.ac.uk/ols4/api/ontologies/pr/terms?iri=obo:PR_A0JD36,IMGT nomenclature: TRDV2
TCRVg9,,Required phenotypic markers,PR:Q99603,T cell receptor gamma variable 9 (human),Q99603,T cell receptor gamma variable 9 (human),TRGV9,HGNC:12295,,manual,medium,https://rest.genenames.org/fetch/symbol/TRGV9; https://www.ebi.ac.uk/ols4/api/ontologies/pr/terms?iri=obo:PR_Q99603,IMGT nomenclature: TRGV9
TCRab,,Required phenotypic markers,,,,,,,,manual,medium,,pan-αβ TCR marker; recognises assembled αβ heterodimer
TCRgd,,Required phenotypic markers,,,,,,,,manual,medium,,pan-γδ TCR marker; recognises assembled γδ heterodimer
TCRva24,,Required phenotypic markers,PR:A0A0B4J240,T cell receptor alpha variable 10 (human),A0A0B4J240,T cell receptor alpha variable 10 (human),TRAV10,HGNC:12103,,manual,medium,https://rest.genenames.org/fetch/symbol/TRAV10; https://www.ebi.ac.uk/ols4/api/ontologies/pr/terms?iri=obo:PR_A0A0B4J240,Likely duplicate of TCRVa24 (different capitalisation) — data quality issue; mapped identically to TCRVa24 / TRAV10
Tetramer,,Required phenotypic markers,,,,,,,,manual,low,,generic reagent term; not a specific protein
V,,Ideal phenotypic markers|Required phenotypic markers,,,,,,,,manual,low,,likely parsing artifact from multi-word TCR gene name — data quality issue; see reports/marker_validation.md
VB11,,Required phenotypic markers,PR:A0A075B6N4,T cell receptor beta variable 25-1 (human),A0A075B6N4,T cell receptor beta variable 25-1 (human),TRBV25-1,HGNC:12205,,manual,medium,https://rest.genenames.org/fetch/symbol/TRBV25-1; https://www.ebi.ac.uk/ols4/api/ontologies/pr/terms?iri=obo:PR_A0A075B6N4,Duplicate of TCRVb11 (uppercase) — data quality issue; same mapping as TCRVb11 / TRBV25-1
Vb11,,Required phenotypic markers,PR:A0A075B6N4,T cell receptor beta variable 25-1 (human),A0A075B6N4,T cell receptor beta variable 25-1 (human),TRBV25-1,HGNC:12205,,manual,medium,https://rest.genenames.org/fetch/symbol/TRBV25-1; https://www.ebi.ac.uk/ols4/api/ontologies/pr/terms?iri=obo:PR_A0A075B6N4,Duplicate of TCRVb11 — data quality issue; same mapping as TCRVb11 / TRBV25-1
Vd1,,Required phenotypic markers,PR:A0A1B0GX56,T cell receptor delta variable 1 (human),A0A1B0GX56,T cell receptor delta variable 1 (human),TRDV1,HGNC:12262,,manual,medium,https://rest.genenames.org/fetch/symbol/TRDV1; https://www.ebi.ac.uk/ols4/api/ontologies/pr/terms?iri=obo:PR_A0A1B0GX56,IMGT nomenclature: TRDV1
delta,,Ideal phenotypic markers|Required phenotypic markers,,,,,,,,manual,low,,likely parsing artifact from multi-word TCR gene name — data quality issue; see reports/marker_validation.md
delta1,,Ideal phenotypic markers,,,,,,,,manual,low,,likely parsing artifact from multi-word TCR gene name — data quality issue; see reports/marker_validation.md
gamma,,Ideal phenotypic markers|Required phenotypic markers,,,,,,,,manual,low,,likely parsing artifact from multi-word TCR gene name — data quality issue; see reports/marker_validation.md
